[0.2592592592592592,0.2592592592592592]>[0.0,0.0] [1.0,1.0]
[0.9995427526291722,-0.9995427526291724]>[0.2592592592592592,0.2592592592592592] [0.2592592592592592,0.2592592592592592]
[-0.9911824558602048,0.7705776002389088]>[0.2592592592592592,0.2592592592592592] [0.2592592592592592,0.2592592592592592]
[-0.9946951617309433,0.7628037641684672]>[0.2592592592592592,0.2592592592592592] [0.2592592592592592,0.2592592592592592]
[-0.9076408324538757,0.7758027322319461]>[0.2592592592592592,0.2592592592592592] [0.2592592592592592,0.2592592592592592]
[1.0,-1.0]>[0.2592592592592592,0.2592592592592592] [0.2592592592592592,0.2592592592592592]
[1.0,-1.0]>[0.2592592592592592,0.2592592592592592] [0.2592592592592592,0.2592592592592592]
[1.0,-1.0]>[0.2592592592592592,0.2592592592592592] [0.2592592592592592,0.2592592592592592]
[1.0,-1.0]>[0.2592592592592592,0.2592592592592592] [0.2592592592592592,0.2592592592592592]
[1.0,-1.0]>[0.2592592592592592,0.2592592592592592] [0.2592592592592592,0.2592592592592592]
[1.0,-1.0]>[0.2592592592592592,0.2592592592592592] [0.2592592592592592,0.2592592592592592]
[1.0,-1.0]>[0.2592592592592592,0.2592592592592592] [0.2592592592592592,0.2592592592592592]
[1.0,-1.0]>[0.2592592592592592,0.2592592592592592] [0.2592592592592592,0.2592592592592592]
[1.0,-1.0]>[0.2592592592592592,0.2592592592592592] [0.2592592592592592,0.2592592592592592]
[1.0,-1.0]>[0.2592592592592592,0.2592592592592592] [0.2592592592592592,0.2592592592592592]
[1.0,-1.0]>[0.2592592592592592,0.2592592592592592] [0.2592592592592592,0.2592592592592592]
[1.0,-1.0]>[0.2592592592592592,0.2592592592592592] [0.2592592592592592,0.2592592592592592]
[1.0,-1.0]>[0.2592592592592592,0.2592592592592592] [0.2592592592592592,0.2592592592592592]
[1.0,-1.0]>[0.2592592592592592,0.2592592592592592] [0.2592592592592592,0.2592592592592592]
[1.0,-1.0]>[0.2592592592592592,0.2592592592592592] [0.2592592592592592,0.2592592592592592]
[1.0,-1.0]>[0.2592592592592592,0.2592592592592592] [0.2592592592592592,0.2592592592592592]
